Bathroom,BHK,Size,Area
3,3,7.546974117516527,0
1,1,5.703782474656201,1
3,3,7.195937226475569,0
2,3,6.85751406254539,0
2,2,6.642486801367256,0
2,3,6.932447891572509,0
3,3,7.533158807455563,0
3,3,6.99117688712121,0
3,3,7.202661196523238,0
3,3,7.313220387090301,0
2,2,6.51025834052315,0
2,2,7.164720378771857,1
2,2,6.543911845564792,0
2,2,7.05617528410041,1
3,3,7.1631723908466425,0
3,3,7.090076835776092,0
2,2,7.10085190894405,0
2,2,6.903747257584598,1
2,2,7.090076835776092,1
2,1,6.461468176353717,1
1,1,6.396929655216146,1
1,1,6.684611727667927,0
2,2,6.55250788703459,0
3,3,7.090076835776092,0
3,3,7.549609165154532,1
2,2,6.664409020350408,0
3,3,7.090076835776092,0
2,2,6.907755278982137,1
1,1,6.396929655216146,1
3,3,7.538494999413465,0
3,3,7.090076835776092,0
3,3,7.406103381237015,0
3,3,7.090076835776092,0
2,2,6.901737206656574,0
2,2,6.492239835020471,0
2,2,7.022868086082641,0
2,3,7.313220387090301,0
2,2,6.684611727667927,1
3,3,7.136483208590247,0
1,1,6.1092475827643655,1
2,2,6.70808408385307,0
3,3,7.090076835776092,0
3,3,7.459914766241105,0
3,3,7.134093721192866,0
3,3,7.200424892944957,0
2,3,7.116394144093465,0
3,3,7.19668657083435,0
2,2,7.077498053569231,0
1,1,5.703782474656201,0
3,3,7.249215057114389,0
2,2,6.88653164253051,0
1,1,6.214608098422191,1
2,2,7.071573364211532,1
3,3,7.277247726631484,0
2,2,7.189922170745808,0
2,2,6.838405200847344,1
3,3,7.090076835776092,0
3,3,7.3777589082278725,0
3,3,7.003065458786462,0
2,2,7.10002716662926,0
2,2,7.090076835776092,1
2,2,6.60934924316738,0
2,2,6.620073206530356,0
3,3,7.3864708488298945,0
2,2,6.745236349484363,1
2,2,6.759255270663693,0
2,2,6.630683385642372,0
2,2,6.734591659972948,0
3,3,7.090076835776092,0
1,2,6.396929655216146,1
2,2,6.898714534329988,0
2,3,7.047517221357296,0
2,2,7.003065458786462,1
3,3,7.133295954896068,0
2,2,6.648984550024776,0
3,3,6.964135612418245,0
2,3,7.1693500166706,1
3,3,7.097548850614793,0
3,3,7.57198844937744,0
2,2,6.784457062637643,0
2,2,6.1092475827643655,0
3,3,7.229113877793302,0
3,3,6.942156705699469,0
2,2,7.3777589082278725,1
2,2,7.495541943884256,1
2,2,6.907755278982137,1
3,3,7.3098814858247865,0
1,1,5.75890177387728,0
2,1,6.154858094016418,0
2,3,7.313220387090301,0
2,3,7.249925536717988,0
3,3,6.911747300251674,0
3,3,7.27931883541462,0
1,1,5.634789603169249,0
2,2,7.4133673356952405,0
2,2,6.582025138892826,0
2,2,6.802394763324311,0
2,2,7.074963197966044,0
2,2,6.844815479208263,0
2,2,6.760414691083428,0
3,3,7.441906728051625,0
2,2,6.620073206530356,0
1,2,6.654152520183219,0
3,3,7.090076835776092,0
2,2,6.566672429803241,0
2,3,7.15305163493748,1
1,1,5.991464547107982,0
2,2,6.476972362889683,0
2,2,6.762729506931879,0
3,3,7.325807502595773,0
3,3,7.411556287811163,0
2,2,6.78105762593618,0
3,3,6.907755278982137,0
3,3,7.090076835776092,0
2,3,7.299797366758161,1
2,1,6.073044534100405,0
3,3,7.026426808699636,0
2,2,6.590301048196686,0
2,2,6.641182169740591,0
2,1,6.169610732491456,0
2,2,6.851184927493743,0
2,2,6.684611727667927,1
1,1,6.309918278226516,0
2,2,7.003065458786462,0
3,3,7.011213987350367,0
3,3,7.58629630715272,1
3,3,7.119635638017636,0
2,3,7.090076835776092,1
2,2,6.949856455000773,1
2,2,7.1308988302963465,1
3,3,7.599401333415815,0
2,2,6.917705609835305,0
3,3,7.063903961472068,0
2,2,6.739336627357174,0
2,2,6.684611727667927,1
1,1,6.1092475827643655,1
3,3,7.188412736496954,0
2,2,6.610696044717759,0
3,3,7.428927194802272,0
3,3,7.1846291527173145,0
3,3,7.106606137727303,0
3,3,7.1308988302963465,0
2,2,6.831953565565855,0
3,3,7.090076835776092,0
3,3,6.9957661563048505,0
2,2,6.551080335043404,0
2,2,6.956545443151569,1
2,2,6.47543271670409,0
2,2,6.870053411798126,0
2,3,6.684611727667927,1
2,2,7.047517221357296,1
2,2,6.688354713946762,0
3,3,7.359467638255621,0
2,2,7.13966033596492,0
2,3,7.3777589082278725,1
3,2,7.090076835776092,1
3,3,7.065613363597717,0
3,3,7.515889085215125,0
2,2,6.645090969505644,0
2,3,7.365180126021013,0
1,1,5.703782474656201,1
2,2,6.725033642166843,0
2,2,6.734591659972948,0
1,1,6.309918278226516,0
2,2,6.7357800142423265,0
3,3,7.014814351275545,0
2,2,6.907755278982137,0
2,2,6.6039438246004725,0
2,3,7.001245622069476,0
1,2,6.802394763324311,1
3,3,7.537430036586509,0
3,3,7.090076835776092,0
2,2,7.19668657083435,0
2,2,7.004881989712859,0
3,3,7.171656822768514,0
2,2,6.748759547491679,0
2,2,6.634633357861686,0
2,2,6.62273632394984,0
